Label (Grouping),2010 or later,2000 to 2009,Before 2000
"Agriculture, forestry, fishing and hunting, and mining",131647,193519,304255
Construction,556506,905670,1258510
Manufacturing,640281,735373,1590425
Wholesale trade,131647,170297,373404
Retail trade,562490,696670,1147872
"Transportation and warehousing, and utilities",365020,425743,898936
Information,113695,108371,193617
"Finance and insurance, and real estate and rental and leasing",281245,379298,843617
"Professional, scientific, and management, and administrative and waste management services",951446,1068227,1756382
"Educational services, and health care and social assistance",1113012,1493969,2918084
"Arts, entertainment, and recreation, and accommodation and food services",736024,967597,1258510
Other services (except public administration),311165,464446,815957
Public administration,89759,139334,442553
